,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Segment,Motor Energy,Solar Energy,Delta Energy,Battery Level,Battery %,,,,Drainage from battery per lap,,-238.7049938,Wh
,,1,7.99701764,5.203374267,-2.793643372,5397.206357,99.9%,,,,Battery % After one lap,,95.6%,
,,2,1.37497069,0.454840408,-0.920130282,5396.286226,99.9%,,,,,,,
,,3,1.030345051,0.437994467,-0.592350584,5395.693876,99.9%,,,,,,,
,,4,2.659944344,1.267055422,-1.392888922,5394.300987,99.9%,,,,,,,
,,5,1.142800455,0.407787952,-0.735012503,5393.565974,99.9%,,,,,,,
,,6,1.341721026,0.407787952,-0.933933074,5392.632041,99.9%,,,,,,,
,,7,1.73956217,0.407787952,-1.331774218,5391.300267,99.8%,,,,,,,
,,8,1.400960927,0.39419502,-1.006765907,5390.293501,99.8%,,,,,,,
,,9,1.064367816,0.381479052,-0.682888764,5389.610612,99.8%,,,,,,,
,,10,1.202040355,0.39419502,-0.807845335,5388.802767,99.8%,,,,,,,
,,11,0.831424479,0.437994467,-0.393430012,5388.409337,99.8%,,,,,,,
,,12,2.74994138,0.909680816,-1.840260564,5386.569076,99.8%,,,,,,,
,,13,0.804199212,0.39419502,-0.410004191,5386.159072,99.7%,,,,,,,
,,14,0.530862266,0.369557831,-0.161304434,5385.997768,99.7%,,,,,,,
,,15,0.928703409,0.369557831,-0.559145578,5385.438622,99.7%,,,,,,,
,,16,2.520321414,0.695638271,-1.824683143,5383.613939,99.7%,,,,,,,
,,17,5.014444095,1.642479251,-3.371964844,5380.241974,99.6%,,,,,,,
,,18,1.061240135,0.347819135,-0.713421,5379.528553,99.6%,,,,,,,
,,19,12.39465397,2.489652759,-9.905001212,5369.623552,99.4%,,,,,,,
,,20,1.400729962,0.32849585,-1.072234112,5368.551318,99.4%,,,,,,,
,,21,1.724385696,0.369557831,-1.354827864,5367.19649,99.4%,,,,,,,
,,22,1.525465124,0.369557831,-1.155907293,5366.040583,99.4%,,,,,,,
,,23,1.260160707,0.347819135,-0.912341572,5365.128241,99.4%,,,,,,,
,,24,2.005777638,0.6569917,-1.348785938,5363.779455,99.3%,,,,,,,
,,25,21.69064445,4.356892329,-17.33375212,5346.445703,99.0%,,,,,,,
,,26,7.979833033,3.801166267,-4.178666767,5342.267036,98.9%,,,,,,,
,,27,27.88797143,5.601718709,-22.28625273,5319.980784,98.5%,,,,,,,
,,28,8.866481148,4.223518074,-4.642963074,5315.337821,98.4%,,,,,,,
,,29,7.979833033,3.801166267,-4.178666767,5311.159154,98.4%,,,,,,,
,,30,11.27623981,3.695578315,-7.580661494,5303.578492,98.2%,,,,,,,
,,31,6.206536804,2.956462652,-3.250074152,5300.328418,98.2%,,,,,,,
,,32,21.69064445,4.356892329,-17.33375212,5282.994666,97.8%,,,,,,,
,,33,6.206536804,2.956462652,-3.250074152,5279.744592,97.8%,,,,,,,
,,34,5.319888689,2.534110844,-2.785777845,5276.958814,97.7%,,,,,,,
,,35,9.805109736,2.299470951,-7.505638785,5269.453175,97.6%,,,,,,,
,,36,1.459081279,0.347819135,-1.111262143,5268.341913,97.6%,,,,,,,
,,37,4.576395373,1.108673494,-3.467721878,5264.874191,97.5%,,,,,,,
,,38,1.55641795,0.909680816,-0.646737134,5264.227454,97.5%,,,,,,,
,,39,1.326544553,0.369557831,-0.956986721,5263.270467,97.5%,,,,,,,
,,40,1.682330402,0.422351807,-1.259978594,5262.010489,97.4%,,,,,,,
,,41,1.326544553,0.369557831,-0.956986721,5261.053502,97.4%,,,,,,,
,,42,2.520321414,0.695638271,-1.824683143,5259.228819,97.4%,,,,,,,
