,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Segment,Drag Force,Rolling Force,Grade Force,Total Force(N),Motor Force ,Motor Power,Time (s),Energía consumida (Wh),,,,,,,
,1,140.3773438,22.2486876,0,162.6260314,162.6260314,1817.508526,15.83996063,7.99701764,,,,,,,
,2,151.832135,22.2486876,133.4921256,307.5729482,307.5729482,3574.93268,1.384611943,1.37497069,,,Energía Consumida por vuellta,,,353.5748867,Wh
,3,163.7361338,22.2486876,44.4973752,230.4821966,230.4821966,2781.938551,1.333330019,1.030345051,,,,,,14.14127583,
,4,176.08934,22.2486876,0,198.3380276,198.3380276,2482.620892,3.85713327,2.659944344,,,,,,,
,5,188.8917538,22.2486876,44.4973752,255.6378166,255.6378166,3314.129556,1.241376225,1.142800455,,,,,,,
,6,188.8917538,22.2486876,88.9947504,300.1351918,300.1351918,3891.000647,1.241376225,1.341721026,,,,,,,
,7,188.8917538,22.2486876,177.9895008,389.1299422,389.1299422,5044.742831,1.241376225,1.73956217,,,,,,,
,8,202.143375,22.2486876,88.9947504,313.386813,313.386813,4202.893227,1.199997017,1.400960927,,,,,,,
,9,215.8442038,22.2486876,0,238.0928914,238.0928914,3299.548431,1.161287436,1.064367816,,,,,,,
,10,202.143375,22.2486876,44.4973752,268.8894378,268.8894378,3606.130028,1.199997017,1.202040355,,,,,,,
,11,163.7361338,22.2486876,0,185.9848214,185.9848214,2244.851672,1.333330019,0.831424479,,,,,,,
,12,151.832135,22.2486876,133.4921256,307.5729482,307.5729482,3574.93268,2.769223886,2.74994138,,,,,,,
,13,202.143375,22.2486876,-44.4973752,179.8946874,179.8946874,2412.603632,1.199997017,0.804199212,,,,,,,
,14,229.99424,22.2486876,-133.4921256,118.750802,118.750802,1698.763473,1.124997204,0.530862266,,,,,,,
,15,229.99424,22.2486876,-44.4973752,207.7455524,207.7455524,2971.858296,1.124997204,0.928703409,,,,,,,
,16,259.641935,22.2486876,0,281.8906226,281.8906226,4284.557054,2.117641795,2.520321414,,,,,,,
,17,291.08646,22.2486876,-88.9947504,224.3403972,224.3403972,3610.408722,4.999987573,5.014444095,,,,,,,
,18,259.641935,22.2486876,-44.4973752,237.3932474,237.3932474,3608.225429,1.058820898,1.061240135,,,,,,,
,19,324.327815,22.2486876,0,346.5765026,346.5765026,5887.475269,7.578928531,12.39465397,,,,,,,
,20,291.08646,22.2486876,0,313.3351476,313.3351476,5042.640398,0.999997515,1.400729962,,,,,,,
,21,229.99424,22.2486876,133.4921256,385.7350532,385.7350532,5518.047942,1.124997204,1.724385696,,,,,,,
,22,229.99424,22.2486876,88.9947504,341.237678,341.237678,4881.50053,1.124997204,1.525465124,,,,,,,
,23,259.641935,22.2486876,0,281.8906226,281.8906226,4284.557054,1.058820898,1.260160707,,,,,,,
,24,291.08646,22.2486876,-88.9947504,224.3403972,224.3403972,3610.408722,1.999995029,2.005777638,,,,,,,
,25,324.327815,22.2486876,0,346.5765026,346.5765026,5887.475269,13.26312493,21.69064445,,,,,,,
