Segment,Type,Turn (deg),Distance (mi),Acummulated,Grade (%),Expected Velocity (mph),Irradiance (W/m²),,Distance (m),Velocity (m/s),Time (s),Drag Force,Rolling Force,Grade Force,Total Force(N),Motor Force ,Motor Power,Energía consumida (Wh)
1,Recta,,0.11,0.11,0,25,800,,177.0274,11.176,15.83996063,28.0536768,22.2486876,0,50.3023644,50.3023644,562.1792245,2.47358244
2,,,0.01,0.12,0.03,26,800,,16.0934,11.62304,1.384611943,30.34285682,22.2486876,133.4921256,186.08367,186.08367,2162.85794,0.831866371
3,,,0.01,0.13,0.01,27,800,,16.0934,12.07008,1.333330019,32.72180861,22.2486876,44.4973752,99.46787141,99.46787141,1200.585165,0.444660067
4,,,0.03,0.16,0,28,800,,48.2802,12.51712,3.85713327,35.19053217,22.2486876,0,57.43921977,57.43921977,718.9736066,0.77032695
5,,,0.01,0.17,0.01,29,800,,16.0934,12.96416,1.241376225,37.7490275,22.2486876,44.4973752,104.4950903,104.4950903,1354.69107,0.467133691
6,,,0.01,0.18,0.02,29,800,,16.0934,12.96416,1.241376225,37.7490275,22.2486876,88.9947504,148.9924655,148.9924655,1931.562161,0.666054262
7,,,0.01,0.19,0.04,29,800,,16.0934,12.96416,1.241376225,37.7490275,22.2486876,177.9895008,237.9872159,237.9872159,3085.304345,1.063895406
8,,,0.01,0.2,0.02,30,800,,16.0934,13.4112,1.199997017,40.39729459,22.2486876,88.9947504,151.6407326,151.6407326,2033.684193,0.677893046
9,,,0.01,0.21,0,31,800,,16.0934,13.85824,1.161287436,43.13533344,22.2486876,0,65.38402104,65.38402104,906.1074558,0.292292001
10,,,0.01,0.22,0.01,30,800,,16.0934,13.4112,1.199997017,40.39729459,22.2486876,44.4973752,107.1433574,107.1433574,1436.920995,0.478972474
11,,,0.01,0.23,0,27,800,,16.0934,12.07008,1.333330019,32.72180861,22.2486876,0,54.97049621,54.97049621,663.4982869,0.245739495
12,Curva #1,-60,0.02,0.25,0.03,26,800,,32.1868,11.62304,2.769223886,30.34285682,22.2486876,133.4921256,186.08367,186.08367,2162.85794,1.663732742
13,,,0.01,0.26,-0.01,30,800,,16.0934,13.4112,1.199997017,40.39729459,22.2486876,-44.4973752,18.14860699,18.14860699,243.394598,0.081131331
14,,,0.01,0.27,-0.03,32,800,,16.0934,14.30528,1.124997204,45.96314406,22.2486876,-133.4921256,-65.28029394,0,0,0
15,,,0.01,0.28,-0.01,32,800,,16.0934,14.30528,1.124997204,45.96314406,22.2486876,-44.4973752,23.71445646,23.71445646,339.2419397,0.106012843
16,,,0.02,0.3,0,34,800,,32.1868,15.19936,2.117641795,51.8880806,22.2486876,0,74.1367682,74.1367682,1126.831429,0.66284037
17,,,0.05,0.35,-0.02,36,800,,80.467,16.09344,4.999987573,58.1721042,22.2486876,-88.9947504,-8.573958596,0,0,0
18,,,0.01,0.36,-0.01,34,800,,16.0934,15.19936,1.058820898,51.8880806,22.2486876,-44.4973752,29.639393,29.639393,450.4998044,0.132499613
19,,,0.08,0.44,0,38,800,,128.7472,16.98752,7.578928531,64.81521487,22.2486876,0,87.06390247,87.06390247,1478.999784,3.113676018
20,Recta,,0.01,0.45,0,36,800,,16.0934,16.09344,0.999997515,58.1721042,22.2486876,0,80.4207918,80.4207918,1294.247188,0.359512214
21,,,0.01,0.46,0.03,32,800,,16.0934,14.30528,1.124997204,45.96314406,22.2486876,133.4921256,201.7039573,201.7039573,2885.431586,0.901695129
22,,,0.01,0.47,0.02,32,800,,16.0934,14.30528,1.124997204,45.96314406,22.2486876,88.9947504,157.2065821,157.2065821,2248.884174,0.702774558
23,,,0.01,0.48,0,34,800,,16.0934,15.19936,1.058820898,51.8880806,22.2486876,0,74.1367682,74.1367682,1126.831429,0.331420185
24,,,0.02,0.5,-0.02,36,800,,32.1868,16.09344,1.999995029,58.1721042,22.2486876,-88.9947504,-8.573958596,0,0,0
25,,,0.14,0.64,0,38,800,,225.3076,16.98752,13.26312493,64.81521487,22.2486876,0,87.06390247,87.06390247,1478.999784,5.448933031
26,Curva #2,-80,0.09,0.73,0,28,800,,144.8406,12.51712,11.57139981,35.19053217,22.2486876,0,57.43921977,57.43921977,718.9736066,2.310980849
